nn_W;np_W;nominal_W;neoclass_W;poss_pronoun_W;pronoun_all_W;p1_perspron_P;p2_perspron_P;p3_perspron_P;it_P;pospers1_W;pospers2_W;pospers3_W;adj_W;atadj_W;predadj_W;prep_W;past_tense_F;will_F;modal_verb_V;verb_W;infinitive_F;passive_F;coordination_F;subordination_F;interrogative_S;imperative_S;title_W;salutation_S;place_adv_W;time_adv_W;prep_initial_S;adv_initial_S;text_initial_S;wh_initial_S;disc_initial_S;nonfin_initial_S;subord_initial_S;verb_initial_S
31.595.516;5.018.416;7.689.790;1.711.299;1.923.929;7.817.529;24.428.571;2.500.000;22.669.048;8.833.333;4.070.094;1.139.942;2.502.291;6.796.165;5.425.425;1.370.739;11.050.636;3.200.000;7.333.333;4.706.349;23.285.205;31.450.000;14.116.667;;22.133.333;1;4;4.172.256;0;0.000000;0.547995;10;13.000.000;12;1.000.000;4;1;4;11.000.000
24.387.596;5.223.851;6.365.541;1.681.944;1.602.972;9.306.395;34.700.000;3.000.000;18.683.333;13.683.333;5.025.608;1.029.004;2.714.694;6.483.390;4.357.031;2.126.359;10.360.245;8.750.000;4.083.333;8.880.592;21.005.776;;6.450.000;;inf;0;1;2.093.108;0;0.167273;0.771624;6;21.000.000;10;1.000.000;0;0;8;1.000.000
32.217.783;4.753.545;10.429.091;1.946.844;2.813.172;16.226.201;26.033.333;31.000.000;35.516.667;5.200.000;4.456.242;4.989.316;6.312.216;9.458.136;5.718.100;3.740.037;17.801.481;44.750.000;2.000.000;10.781.746;31.455.651;;16.000.000;;31.333.333;2;5;2.351.520;0;0.476190;0.697372;9;18.000.000;21;3.000.000;25;5;13;16.000.000
25.489.695;1.723.809;7.899.432;0.676149;2.308.591;21.532.569;42.778.571;42.445.238;27.454.762;22.076.190;7.849.255;7.200.917;5.472.422;9.494.577;4.018.602;5.475.975;15.829.341;36.450.000;5.583.333;10.068.254;37.699.614;;10.500.000;;42.083.333;5;6;1.307.142;0;0.104701;2.162.582;13;30.000.000;14;8.000.000;26;3;11;11.000.000
32.418.442;2.588.921;9.005.383;3.296.571;6.647.266;25.039.970;37.433.333;24.983.333;36.016.667;10.866.667;11.426.042;6.615.453;6.668.305;13.098.975;5.579.260;7.519.715;16.310.975;46.416.667;5.500.000;11.891.667;37.914.649;;18.583.333;;;4;2;0.438462;0;0.198718;1.264.052;10;18.000.000;10;6.000.000;8;5;12;11.000.000
26.137.370;0.841609;6.673.487;1.893.416;3.337.937;27.581.521;42.933.333;26.616.667;55.850.000;19.016.667;8.424.358;5.284.018;12.398.283;8.770.140;4.949.372;3.820.768;14.736.575;53.766.667;1.833.333;16.747.619;42.549.908;;6.450.000;;;6;6;0.295341;0;0.422222;1.606.600;8;28.000.000;22;9.000.000;16;14;22;4.000.000
48.481.255;3.577.345;6.710.740;1.170.728;15.823.881;35.283.195;32.816.667;35.166.667;31.900.000;21.233.333;21.325.393;5.697.910;5.637.241;9.700.277;3.963.038;5.737.238;16.054.950;52.250.000;3.750.000;12.869.048;39.076.563;;12.000.000;;;2;3;0.038462;0;0.225071;0.944841;12;17.000.000;15;8.000.000;35;12;18;18.000.000
34.035.741;5.415.809;11.365.927;1.968.611;3.571.100;30.897.766;26.766.667;38.200.000;46.300.000;13.833.333;7.047.022;9.579.251;10.879.240;7.790.365;3.292.328;4.498.037;16.347.999;45.416.667;4.083.333;5.927.381;44.458.434;14.416.667;10.833.333;;;13;7;0.503114;0;0.741681;4.275.053;13;36.000.000;21;16.000.000;32;8;24;8.000.000
54.594.794;6.887.046;24.872.962;5.230.018;2.856.025;21.745.874;27.150.000;35.450.000;35.816.667;10.833.333;7.497.026;6.018.369;6.989.408;15.457.761;6.114.210;9.343.550;19.135.432;88.316.667;0.500000;3.642.857;38.807.869;;4.533.333;;;10;2;3.098.848;0;0.124060;2.213.341;13;24.000.000;31;10.000.000;42;13;27;10.000.000
38.553.930;2.933.244;13.080.227;0.983974;5.564.363;28.065.814;31.033.333;51.300.000;34.516.667;14.116.667;7.240.796;10.783.248;8.276.251;10.647.151;5.888.453;4.758.698;16.494.832;67.700.000;0.500000;12.742.857;43.863.955;11.700.000;14.916.667;;;8;5;1.353.593;0;0.790909;3.445.242;9;18.000.000;13;14.000.000;31;13;22;15.000.000
29.172.145;2.204.856;9.763.995;0.219048;5.859.654;27.239.046;37.316.667;34.033.333;39.583.333;27.500.000;11.832.804;6.758.208;7.926.568;5.713.185;4.170.501;1.542.684;15.905.443;68.004.762;9.533.333;5.725.000;36.836.047;;12.616.667;;;1;5;1.768.539;0;0.188346;1.002.881;16;17.000.000;9;3.000.000;37;7;12;11.000.000
49.866.024;3.733.334;13.983.035;4.499.795;2.956.133;19.805.487;23.100.000;29.333.333;43.150.000;32.833.333;4.953.592;5.520.645;7.459.198;20.261.261;13.334.276;6.926.985;22.452.680;41.000.000;4.000.000;20.726.190;44.874.086;;17.500.000;;26.666.667;10;4;2.105.556;0;0.626923;1.497.204;12;21.000.000;16;18.000.000;52;5;13;21.000.000
19.691.700;0.297727;2.649.196;1.270.037;1.939.434;14.630.272;15.341.667;55.091.667;10.586.905;9.236.905;2.506.907;9.717.495;1.820.681;4.698.640;3.298.147;1.400.493;9.441.065;0.783333;7.692.857;7.465.260;26.474.854;4.933.333;8.702.381;19.257.143;27.259.524;0;2;0.172727;0;1.119.313;4.430.031;5;67.000.000;7;2.000.000;0;0;12;5.000.000
35.604.463;3.264.069;5.454.120;0.504762;1.961.883;40.740.627;31.126.190;53.656.349;51.226.190;34.909.524;6.243.192;20.542.441;11.534.933;15.064.308;6.427.043;8.637.265;13.122.339;4.369.048;2.000.000;8.594.444;43.109.896;9.416.667;3.476.190;;;8;6;0.000000;0;0.204762;0.964165;8;44.000.000;15;14.000.000;29;1;7;15.000.000
37.668.394;14.098.318;8.075.783;4.518.237;1.696.460;40.715.524;38.309.524;74.031.746;40.765.873;38.123.016;9.795.610;19.419.506;9.298.707;8.723.221;4.129.207;4.594.014;11.057.412;7.226.190;15.705.952;13.597.619;59.411.198;16.708.333;5.083.333;;;4;16;0.125000;0;2.130.952;2.909.630;9;47.000.000;11;9.000.000;40;4;16;21.000.000
21.413.020;0.530154;1.056.633;1.709.524;1.385.933;27.029.429;28.733.333;48.088.889;33.822.222;29.988.889;5.271.465;12.918.774;6.089.905;10.455.688;5.166.719;5.288.969;9.051.920;9.916.667;4.384.524;10.328.247;34.620.530;8.916.667;1.500.000;;;2;2;0.000000;0;0.107581;1.232.277;2;28.000.000;14;6.000.000;12;5;14;6.000.000
21.261.933;3.353.431;4.022.795;0.616116;2.858.007;19.421.060;24.428.571;47.121.429;13.566.667;7.766.667;6.430.494;9.298.187;2.408.831;9.030.976;3.044.621;5.986.355;12.054.388;8.200.000;9.335.714;6.226.190;26.785.459;;4.809.524;;21.780.952;4;5;0.000000;0;0.292670;1.068.456;10;33.000.000;5;5.000.000;28;3;10;5.000.000
13.170.623;1.780.117;1.976.266;0.325947;1.920.138;17.700.866;43.738.384;24.237.734;10.237.734;9.321.068;9.797.860;5.617.942;1.875.896;4.470.066;2.345.514;2.124.553;7.371.178;5.184.524;3.520.635;4.498.052;25.976.093;16.773.413;7.741.667;;20.808.730;2;3;1.104.401;0;1.091.011;1.560.554;11;21.000.000;4;4.000.000;11;4;10;2.000.000
20.203.472;2.195.643;7.758.688;0.085145;0.799572;11.626.611;41.684.615;7.146.581;24.952.991;13.376.068;5.787.862;1.682.292;3.443.607;4.387.797;3.017.752;1.370.045;8.947.223;10.876.190;13.533.333;5.438.070;23.213.654;;6.626.190;;28.691.667;0;4;0.083333;0;0.202578;1.690.153;5;19.000.000;9;1.000.000;4;0;10;5.000.000
36.818.169;12.823.199;5.979.347;0.387146;3.363.739;21.243.370;38.783.333;28.250.000;22.733.333;;9.253.066;5.938.312;4.112.581;9.758.986;5.157.384;4.601.602;13.151.776;15.000.000;13.166.667;8.059.524;38.914.089;;7.000.000;;;4;3;0.670721;0;1.419.444;3.058.126;7;53.000.000;7;7.000.000;21;6;20;8.000.000
23.418.019;2.215.737;1.339.786;0.058824;1.415.012;41.006.260;50.438.095;52.161.905;41.064.286;24.402.381;13.043.389;19.132.946;7.945.337;10.576.752;3.995.262;6.581.490;12.892.001;11.859.524;2.833.333;6.388.095;39.122.923;;4.166.667;;21.102.381;1;14;0.269080;0;1.064.125;0.808933;6;30.000.000;15;2.000.000;23;2;11;13.000.000
26.540.484;17.575.427;4.351.724;0.092593;2.103.551;11.143.292;8.233.333;6.566.667;45.333.333;11.666.667;1.443.586;0.737350;7.966.598;6.247.276;4.915.909;1.331.367;14.313.603;22.400.000;3.250.000;2.702.381;28.629.764;;2.500.000;;;1;4;0.000000;0;2.499.730;1.923.061;2;8.000.000;15;6.000.000;8;2;8;8.000.000
25.653.463;37.290.358;5.064.915;0.368204;1.296.753;9.002.504;7.083.333;2.333.333;46.300.000;12.866.667;0.643608;0.382870;6.899.270;8.677.711;6.252.875;2.424.836;19.287.954;17.416.667;5.583.333;1.408.333;25.397.686;;4.833.333;;;0;4;0.000000;0;2.740.463;1.049.020;5;11.000.000;6;0.000000;6;3;5;5.000.000
22.005.424;12.471.297;2.589.475;0.074176;0.852444;10.736.289;13.916.667;2.392.857;46.671.429;15.252.381;1.733.401;0.430508;6.723.078;5.140.803;3.330.423;1.810.380;14.073.538;22.690.079;1.833.333;4.027.171;23.692.917;;4.283.333;;;0;0;0.000000;0;1.493.468;1.726.688;6;17.000.000;7;1.000.000;0;1;5;3.000.000
23.440.331;23.659.033;4.163.923;0.304701;1.361.065;14.476.584;7.416.667;6.166.667;59.416.667;;0.631774;1.233.612;10.520.124;9.619.178;6.684.856;2.934.322;15.250.065;26.983.333;5.650.000;2.866.667;33.585.312;;6.666.667;;;0;7;0.000000;0;1.816.078;2.881.091;4;39.000.000;10;1.000.000;7;2;3;4.000.000
32.785.112;16.105.929;3.945.036;0.751269;1.268.151;8.822.333;20.333.333;7.783.333;27.500.000;10.333.333;2.394.466;1.058.841;4.388.328;7.033.946;5.662.643;1.371.303;14.615.246;9.166.667;3.833.333;2.783.333;21.149.226;10.166.667;6.250.000;;;0;6;0.777392;1;2.054.216;1.360.086;6;18.000.000;13;0.000000;4;1;1;5.000.000
19.940.483;21.260.950;3.685.053;0.187019;1.018.193;10.724.545;10.450.000;6.333.333;48.521.429;13.411.905;1.339.397;1.710.048;6.846.652;7.842.198;5.788.515;2.053.683;13.466.614;30.566.667;1.783.333;5.925.000;23.563.948;;3.116.667;;15.533.333;1;3;0.000000;0;1.560.838;1.768.876;1;12.000.000;13;1.000.000;6;1;2;6.000.000
27.059.588;29.538.430;3.893.367;0.333333;0.993061;9.678.118;8.400.000;1.204.545;45.245.455;14.090.909;1.413.663;0.437962;6.669.303;11.658.374;8.184.487;3.473.887;15.653.683;28.666.667;0.250000;5.842.857;30.277.185;;1.500.000;;;0;4;0.000000;0;0.789550;2.174.166;4;15.000.000;10;0.000000;7;6;7;9.000.000
32.568.451;36.432.132;4.904.115;0.546465;1.510.413;12.986.992;5.333.333;1.700.000;59.983.333;24.333.333;0.604540;0.244570;9.849.762;14.503.625;10.407.184;4.096.441;19.695.013;29.500.000;0.000000;4.150.000;28.531.993;;5.000.000;;;0;5;0.000000;0;3.792.859;2.259.956;6;19.000.000;16;0.000000;12;4;7;8.000.000
31.193.617;31.341.066;4.014.023;0.000000;2.410.793;14.188.969;4.333.333;4.083.333;56.983.333;21.416.667;1.275.343;0.573248;10.746.294;14.742.035;9.711.632;5.030.404;19.588.683;34.000.000;2.000.000;4.600.000;30.722.384;;7.083.333;;;0;2;0.000000;0;2.234.864;1.492.213;5;14.000.000;13;0.000000;4;8;11;3.000.000
18.163.668;7.158.230;2.017.535;0.864678;0.888905;6.923.801;11.833.333;2.416.667;37.983.333;8.366.667;1.175.237;0.379289;4.562.728;4.203.103;4.588.152;-0.385049;9.374.949;8.250.000;15.500.000;2.466.667;13.994.761;;4.333.333;;14.083.333;0;3;0.000000;0;0.564919;1.359.480;3;17.000.000;14;0.000000;3;1;5;3.000.000
27.001.890;15.759.211;6.311.539;0.000000;1.733.915;11.145.697;9.666.667;2.952.381;54.511.905;25.059.524;1.087.756;0.336990;8.570.510;12.526.116;8.614.114;3.912.002;16.716.864;26.500.000;6.166.667;3.710.714;28.682.111;;5.958.333;;;1;3;0.125000;0;1.849.589;1.593.069;4;21.000.000;14;1.000.000;4;5;7;7.000.000
16.477.128;4.326.075;2.257.509;0.355971;0.772102;5.196.779;14.000.000;6.333.333;23.750.000;7.944.444;1.164.065;0.687541;3.010.408;3.637.990;3.445.186;0.192804;7.880.905;10.377.778;2.894.444;4.379.040;13.461.931;6.935.714;2.400.000;;11.027.381;2;2;0.000000;0;0.903986;0.956696;2;7.000.000;17;1.000.000;7;1;3;3.000.000
32.469.922;26.705.376;5.052.101;0.229271;0.706274;7.250.788;5.833.333;9.000.000;32.133.333;;0.532667;0.855962;4.232.658;9.149.234;8.244.119;0.905115;16.226.594;19.166.667;3.333.333;2.024.242;27.756.585;;3.500.000;;;0;14;0.000000;0;4.154.349;4.866.156;4;22.000.000;10;0.000000;1;1;4;15.000.000
18.727.817;15.572.799;3.421.305;4.535.276;1.134.703;7.933.934;8.159.524;6.433.333;41.495.238;22.985.714;0.856252;0.704865;5.571.687;6.136.777;4.655.098;1.481.678;11.512.734;37.833.333;0.500000;5.276.465;25.704.329;;;;16.425.000;1;2;0.000000;0;1.417.906;0.766097;3;15.000.000;8;0.000000;12;2;3;3.000.000
27.987.889;27.199.193;3.875.338;0.891739;1.066.984;11.142.158;1.000.000;3.200.000;57.183.333;28.950.000;0.170687;0.249801;8.234.542;13.385.558;9.501.983;3.883.575;18.440.631;34.500.000;4.500.000;2.325.000;25.942.996;9.333.333;2.333.333;;;16;7;0.000000;0;1.196.838;2.131.575;5;16.000.000;7;0.000000;2;6;7;10.000.000
19.808.415;14.115.717;4.345.088;0.000000;1.338.569;9.333.463;18.226.190;6.252.381;35.057.143;11.692.857;1.736.057;0.812519;6.102.361;5.335.529;4.575.356;0.760173;12.679.254;32.535.714;2.500.000;4.302.381;24.263.502;;4.333.333;;;0;2;0.066667;0;1.780.180;0.522094;6;17.000.000;21;1.000.000;4;3;4;3.000.000
22.735.389;14.069.864;4.344.835;0.588258;1.050.441;7.727.201;13.916.667;4.833.333;39.166.667;12.000.000;1.370.235;0.692412;5.144.443;4.783.587;4.171.728;0.611858;11.306.387;15.783.333;1.525.000;3.387.179;18.953.913;16.075.000;1.333.333;;;0;0;1.025.438;0;0.928959;0.745070;1;7.000.000;20;0.000000;4;1;1;0.000000
24.202.336;22.620.710;3.043.595;0.111111;0.934968;9.412.178;7.041.667;3.375.000;48.625.000;21.583.333;0.745631;0.434524;6.970.334;8.084.629;6.508.458;1.576.170;16.454.334;32.233.333;9.000.000;4.869.048;26.494.415;;4.250.000;;;1;4;0.000000;0;0.891290;2.438.264;0;13.000.000;7;2.000.000;7;3;4;5.000.000
24.658.409;31.245.152;3.465.276;0.141071;1.292.278;12.705.377;3.333.333;2.000.000;59.500.000;29.916.667;0.365155;0.403735;9.620.227;6.931.142;5.097.494;1.833.648;17.171.881;38.816.667;6.033.333;5.533.333;30.015.459;;0.500000;;;1;3;0.000000;0;2.245.351;1.953.727;4;9.000.000;3;1.000.000;4;5;6;12.000.000
16.323.774;2.934.147;4.184.185;0.043478;0.991650;11.050.292;17.921.429;17.854.762;37.219.048;12.757.143;2.831.740;2.748.474;4.949.059;5.070.988;3.697.337;1.373.652;6.829.535;7.004.762;3.477.778;4.345.116;20.610.825;18.153.968;3.816.667;19.671.429;25.810.317;6;2;0.357726;0;0.195909;1.160.333;1;8.000.000;1;8.000.000;1;0;6;2.000.000
16.272.437;1.231.733;3.998.120;0.228182;1.176.610;11.605.538;17.133.333;24.640.079;23.569.841;5.252.381;3.018.603;4.045.461;3.755.762;3.797.084;3.042.430;0.754653;6.384.282;2.183.333;4.587.302;6.614.430;18.640.861;10.059.524;3.900.000;;13.613.095;3;3;0.045455;1;0.392641;0.851920;5;11.000.000;1;5.000.000;0;0;6;6.000.000
16.011.466;1.289.020;2.917.675;0.211840;1.324.078;12.774.508;26.059.127;26.432.540;20.948.413;11.180.159;4.034.243;4.477.624;3.430.181;3.824.779;2.289.647;1.535.132;6.924.499;9.319.444;0.708333;4.511.551;21.500.093;14.894.444;4.358.333;20.266.667;20.475.000;4;4;0.034483;0;0.332419;1.275.447;0;14.000.000;9;7.000.000;5;3;16;4.000.000
20.487.771;3.477.865;5.468.481;1.379.181;0.948671;9.136.282;27.434.632;20.491.775;9.889.394;4.416.667;3.374.912;3.130.228;1.571.117;5.368.738;4.322.049;1.046.689;8.684.561;4.583.333;3.142.857;3.090.512;17.160.972;19.850.000;3.566.667;;;0;5;1.609.157;1;0.540482;1.125.988;0;27.000.000;12;1.000.000;0;3;15;3.000.000
11.507.831;1.196.097;3.131.059;0.103914;0.723940;9.121.999;31.703.571;8.576.190;11.685.714;7.842.857;4.525.216;1.907.214;1.277.207;4.310.404;2.894.815;1.415.589;7.161.155;8.802.381;2.066.667;3.954.376;17.082.373;20.152.381;1.685.714;;18.971.429;0;0;0.189828;0;0.175794;0.807204;3;12.000.000;18;1.000.000;1;0;4;1.000.000
16.753.969;1.408.044;3.165.512;2.007.082;1.047.626;9.681.808;35.928.571;15.628.571;10.833.333;3.950.000;4.799.904;2.302.286;1.817.354;4.651.163;3.421.838;1.229.326;10.113.038;11.700.000;7.000.000;5.898.449;19.266.103;;4.916.667;28.500.000;24.533.333;0;5;0.446472;0;0.927675;1.563.243;6;17.000.000;14;1.000.000;2;5;12;3.000.000
16.681.484;4.975.033;5.181.368;0.919349;0.880540;7.689.226;16.114.141;11.511.111;26.222.727;19.583.333;2.431.261;1.159.555;2.750.036;4.097.017;2.811.320;1.285.696;7.414.901;5.326.190;5.750.000;2.792.857;14.652.983;;3.750.000;;17.691.847;0;2;0.000000;0;0.096858;0.449066;6;16.000.000;27;0.000000;0;1;5;1.000.000
15.242.104;0.899080;1.653.271;0.000000;1.737.666;23.113.475;16.561.905;50.301.299;31.465.152;16.931.818;3.136.850;11.580.651;6.196.587;11.520.361;3.692.393;7.827.968;6.873.858;7.483.333;2.950.000;9.802.814;34.121.140;;1.000.000;32.983.333;30.916.667;1;8;0.000000;0;0.418892;1.914.643;4;25.000.000;18;3.000.000;0;5;16;8.000.000
15.533.225;0.736659;3.077.101;0.071429;1.232.256;12.960.378;23.253.968;19.573.810;28.821.429;12.654.762;3.943.897;3.363.859;4.788.214;4.803.477;2.884.631;1.918.846;8.275.835;16.066.667;3.816.667;7.578.571;23.304.929;;2.866.667;;28.950.000;0;4;0.000000;0;0.333373;0.999326;4;23.000.000;19;1.000.000;1;3;12;1.000.000
17.625.599;0.418900;4.115.145;0.119529;0.445490;9.340.568;23.500.000;29.875.000;18.633.333;;2.851.072;3.276.929;2.055.893;3.808.122;2.133.643;1.674.479;10.584.541;3.833.333;0.333333;7.947.691;19.019.387;7.241.667;2.225.000;28.283.333;30.341.667;9;3;0.000000;0;0.138546;0.923492;2;14.000.000;17;3.000.000;1;3;16;1.000.000
19.508.422;0.199274;5.626.655;0.749972;0.744030;10.175.621;37.957.143;10.383.333;24.416.667;4.616.667;4.977.775;1.363.911;3.259.718;3.872.173;2.451.037;1.421.136;7.203.218;3.884.524;5.653.571;2.705.159;18.397.649;;8.816.667;;26.201.587;0;2;0.000000;0;0.565148;0.783321;5;27.000.000;9;0.000000;1;0;8;0.000000
16.229.186;1.391.520;4.253.665;0.441407;1.104.227;17.626.164;20.588.492;46.419.444;25.454.762;13.500.000;3.892.272;8.176.261;4.959.131;5.036.491;3.149.829;1.886.662;9.638.917;10.078.968;3.666.667;7.025.877;28.833.476;23.921.429;1.500.000;33.764.683;17.489.286;35;6;0.000000;0;0.513294;0.850482;2;15.000.000;20;6.000.000;3;2;14;8.000.000
14.279.276;1.838.938;3.342.753;0.281822;0.373746;10.816.840;11.263.492;48.503.968;16.000.794;9.317.460;1.452.085;5.984.265;1.966.703;4.881.326;2.971.123;1.910.203;9.716.712;3.375.000;3.875.000;3.772.529;23.457.426;22.285.714;1.633.333;;22.767.460;5;3;0.000000;0;0.109890;0.860418;5;19.000.000;23;9.000.000;0;0;10;2.000.000
18.264.297;0.180556;4.309.716;0.327088;2.472.911;17.436.034;13.185.714;45.971.429;22.639.286;13.389.286;1.998.986;9.606.182;4.187.358;5.966.138;3.003.705;2.962.433;8.558.948;4.650.000;7.111.111;8.229.401;28.953.329;9.526.190;5.616.667;;22.844.048;9;2;0.000000;0;0.058824;1.896.031;1;32.000.000;18;10.000.000;0;0;13;3.000.000
18.828.137;3.348.322;5.669.281;0.460997;0.579963;7.606.642;26.483.333;17.300.000;24.400.000;7.333.333;2.739.110;2.056.378;2.200.456;7.412.542;5.428.888;1.983.654;12.191.364;35.100.000;1.200.000;4.577.381;16.198.521;;4.166.667;;31.316.667;5;6;0.000000;0;0.235761;1.066.769;5;20.000.000;22;3.000.000;1;2;15;3.000.000
19.087.620;0.836117;4.295.730;0.303718;0.746691;12.765.707;16.688.889;23.611.111;29.283.333;15.150.000;2.365.320;3.909.343;4.609.660;6.837.158;3.501.612;3.335.546;8.391.339;8.400.000;4.291.667;3.869.444;25.448.401;19.695.238;1.533.333;;25.752.381;0;9;0.000000;0;0.465823;1.280.287;2;35.000.000;16;2.000.000;2;1;11;3.000.000
18.306.051;0.897501;5.806.601;0.994279;1.126.270;9.129.481;28.705.952;25.502.381;10.033.333;7.033.333;4.182.250;3.566.322;1.099.472;5.952.362;3.709.379;2.242.983;7.032.270;1.166.667;2.116.667;5.311.183;18.326.434;24.400.000;1.816.667;;28.446.429;8;4;0.000000;1;0.330064;0.947529;10;14.000.000;9;4.000.000;0;6;14;3.000.000
17.734.510;0.625931;3.227.550;0.242063;1.493.590;17.571.050;19.009.524;46.685.714;17.654.762;13.135.714;3.557.786;8.252.989;3.463.411;4.378.361;2.947.226;1.431.135;10.013.398;5.109.524;3.883.333;7.832.937;27.006.606;;1.566.667;;29.121.429;0;2;0.143590;0;0.907838;1.383.163;3;20.000.000;19;1.000.000;3;0;14;5.000.000
20.055.634;1.354.479;4.994.119;1.016.909;1.280.428;20.856.389;36.483.333;52.566.667;20.016.667;8.266.667;7.179.289;8.784.276;3.330.640;11.301.023;4.819.350;6.481.673;10.518.619;11.466.667;8.066.667;6.563.095;30.040.769;;2.950.000;;27.433.333;4;4;0.000000;1;0.441175;1.047.864;7;17.000.000;14;6.000.000;1;4;19;2.000.000
32.620.804;2.379.599;7.295.253;0.499689;2.669.602;21.182.276;33.750.000;38.500.000;35.700.000;;6.655.047;6.955.368;6.915.443;10.977.045;7.416.349;3.560.695;10.162.555;31.666.667;6.833.333;11.384.127;42.734.881;26.683.333;5.000.000;;27.866.667;6;10;0.000000;0;0.685388;2.119.236;8;41.000.000;13;8.000.000;1;3;16;11.000.000
26.553.740;0.473232;8.204.324;0.453368;1.914.265;18.950.351;30.464.286;48.190.476;19.595.238;12.028.571;4.663.013;8.882.199;3.597.597;5.865.637;3.876.632;1.989.005;9.287.630;3.583.333;3.083.333;6.942.857;31.862.473;17.733.333;2.833.333;32.350.000;23.391.667;24;3;0.000000;0;0.293934;2.238.174;3;32.000.000;26;19.000.000;0;5;13;7.000.000
19.314.608;1.568.107;5.189.364;1.033.203;1.635.814;18.728.105;24.306.385;39.340.043;32.257.143;10.128.571;4.768.506;7.058.720;5.959.207;8.072.316;5.236.389;2.835.927;9.230.094;6.638.492;8.285.714;7.108.824;31.975.561;20.269.048;0.000000;;23.681.349;3;1;0.000000;1;0.949332;1.728.240;4;22.000.000;13;6.000.000;1;1;14;3.000.000
21.202.601;1.281.073;4.028.441;0.907642;2.008.451;22.398.711;36.947.619;50.750.000;20.866.667;12.616.667;6.142.902;10.179.464;4.126.230;4.743.541;2.468.130;2.275.411;9.474.880;23.766.667;6.983.333;5.340.476;35.556.304;;1.900.000;31.158.333;25.083.333;6;4;0.160256;0;0.289035;0.665923;10;23.000.000;12;9.000.000;1;1;15;6.000.000
22.885.620;0.608148;7.644.861;0.494787;0.882240;7.182.684;25.000.000;29.416.667;10.166.667;7.416.667;2.592.847;3.206.023;0.935685;5.337.965;4.115.118;1.222.847;9.948.272;1.116.667;12.916.667;3.111.905;19.166.674;16.916.667;15.416.667;;;2;2;0.000000;1;0.098456;0.616050;5;16.000.000;15;4.000.000;1;1;16;0.000000
16.898.018;2.415.981;4.835.590;0.468125;1.625.731;10.554.393;42.204.762;14.119.048;11.133.333;7.766.667;5.839.356;1.891.326;1.906.062;4.120.223;2.842.364;1.277.859;10.920.355;4.950.000;3.116.667;7.448.413;17.427.789;;4.866.667;;23.600.000;10;3;0.000000;0;0.069295;1.074.734;11;21.000.000;14;2.000.000;0;1;4;1.000.000
21.774.769;1.556.898;7.344.384;0.946930;1.094.682;9.078.755;38.516.667;13.000.000;9.783.333;5.533.333;5.156.814;1.121.192;1.878.508;5.556.064;4.578.928;0.977136;11.898.948;4.583.333;12.200.000;4.860.823;19.911.301;;9.333.333;;13.116.667;4;2;0.000000;0;0.259560;1.769.165;2;21.000.000;20;5.000.000;0;2;6;1.000.000
18.752.399;1.442.823;3.946.560;0.337767;1.327.579;11.351.538;29.361.905;11.066.667;23.695.238;11.845.238;4.211.610;2.873.117;3.179.803;4.713.147;3.653.866;1.059.281;8.682.514;27.576.190;4.250.000;4.387.302;21.215.018;26.159.524;8.792.857;;29.542.857;0;2;0.442823;0;0.116667;0.871345;8;15.000.000;33;2.000.000;0;0;5;4.000.000
19.047.088;1.526.216;4.328.757;0.421859;1.097.155;8.976.072;33.166.667;10.500.000;18.166.667;5.966.667;4.441.081;1.785.725;2.136.902;5.632.885;4.480.958;1.151.927;8.570.975;11.716.667;6.066.667;3.953.571;19.192.805;;6.766.667;;27.383.333;1;2;0.510913;1;0.195425;1.219.781;5;19.000.000;22;2.000.000;1;0;10;2.000.000
15.880.844;0.227632;4.102.361;0.309740;0.765467;11.713.702;36.813.095;16.277.381;21.852.778;9.683.333;4.872.778;2.825.737;3.226.316;4.512.832;3.438.370;1.074.463;8.795.423;3.483.333;1.200.000;5.594.048;22.543.392;16.709.524;7.066.667;36.602.381;29.061.905;1;4;0.050000;0;0.207393;2.300.877;4;23.000.000;32;2.000.000;1;0;12;3.000.000
22.527.497;1.106.926;6.442.440;0.182186;1.289.027;18.155.535;48.778.571;10.900.000;39.877.381;9.758.333;8.514.872;1.745.514;6.658.196;5.593.025;3.695.793;1.897.231;10.064.268;15.416.667;1.809.524;13.577.092;32.165.750;14.292.857;5.200.000;38.411.905;28.076.190;4;7;0.452760;0;0.305288;1.456.630;4;24.000.000;13;4.000.000;1;2;16;12.000.000
33.656.497;6.032.113;6.617.855;0.374542;0.789654;20.746.183;21.154.762;56.535.714;29.242.857;22.159.524;3.666.470;9.598.570;4.890.616;9.800.712;8.018.287;1.782.424;11.769.687;2.866.667;5.250.000;11.713.492;36.328.320;;6.816.667;;;1;7;0.043478;0;0.753268;0.777478;7;27.000.000;6;4.000.000;5;3;19;6.000.000
16.345.843;1.851.359;3.374.350;1.232.325;1.560.794;11.186.977;3.500.000;53.192.857;11.639.286;11.639.286;0.937147;7.545.911;1.929.992;7.199.461;4.462.085;2.737.376;7.939.834;1.700.000;9.157.576;10.762.576;20.754.697;16.142.857;1.788.889;;23.995.238;0;2;0.000000;0;1.650.899;1.581.801;1;49.000.000;4;0.000000;2;1;14;4.000.000
